Country_Code,Commodity,Month,Price_USD
AFG,Bread,2024-01,0.90625
AFG,Bread,2024-02,0.8774193548387097
AFG,Bread,2024-03,0.8865625
AFG,Bread,2024-04,0.8903225806451612
AFG,Bread,2024-05,0.885625
AFG,Bread,2024-06,0.8919354838709677
AFG,Bread,2024-07,0.8712121212121212
AFG,Bread,2024-08,0.869375
AFG,Bread,2024-09,0.8784375
AFG,Bread,2024-10,0.9167741935483871
AFG,Bread,2024-11,0.8896774193548387
AFG,Bread,2024-12,0.8557575757575757
AFG,Exchange rate,2024-01,1.010909090909091
AFG,Exchange rate,2024-02,1.0003030303030302
AFG,Exchange rate,2024-03,1.0048484848484847
AFG,Exchange rate,2024-04,1.0069696969696968
AFG,Exchange rate,2024-05,1.0006060606060607
AFG,Exchange rate,2024-06,1.000909090909091
AFG,Exchange rate,2024-07,1.001818181818182
AFG,Exchange rate,2024-08,0.9996969696969698
AFG,Exchange rate,2024-09,1.0066666666666666
AFG,Exchange rate,2024-10,1.002727272727273
AFG,Exchange rate,2024-11,0.999090909090909
AFG,Exchange rate,2024-12,0.9927272727272727
AFG,Fuel (diesel),2024-01,0.8573529411764705
AFG,Fuel (diesel),2024-02,0.8282352941176471
AFG,Fuel (diesel),2024-03,0.8532352941176471
AFG,Fuel (diesel),2024-04,0.8535294117647059
AFG,Fuel (diesel),2024-05,0.8476470588235294
AFG,Fuel (diesel),2024-06,0.8414705882352941
AFG,Fuel (diesel),2024-07,0.8464705882352942
AFG,Fuel (diesel),2024-08,0.8885294117647059
AFG,Fuel (diesel),2024-09,0.9197058823529412
AFG,Fuel (diesel),2024-10,0.9285294117647059
AFG,Fuel (diesel),2024-11,0.8891176470588236
AFG,Fuel (diesel),2024-12,0.8511764705882353
AFG,Oil (cooking),2024-01,1.3161764705882353
AFG,Oil (cooking),2024-02,1.271764705882353
AFG,Oil (cooking),2024-03,1.3111764705882352
AFG,Oil (cooking),2024-04,1.32
AFG,Oil (cooking),2024-05,1.2738235294117648
AFG,Oil (cooking),2024-06,1.2855882352941177
AFG,Oil (cooking),2024-07,1.315
AFG,Oil (cooking),2024-08,1.3082352941176472
AFG,Oil (cooking),2024-09,1.349705882352941
AFG,Oil (cooking),2024-10,1.4997058823529412
AFG,Oil (cooking),2024-11,1.6279411764705882
AFG,Oil (cooking),2024-12,1.6394117647058823
AFG,Pulses,2024-01,1.4929411764705882
AFG,Pulses,2024-02,1.4529411764705882
AFG,Pulses,2024-03,1.4926470588235294
AFG,Pulses,2024-04,1.5011764705882353
AFG,Pulses,2024-05,1.4897058823529412
AFG,Pulses,2024-06,1.5205882352941178
AFG,Pulses,2024-07,1.5094117647058825
AFG,Pulses,2024-08,1.4911764705882353
AFG,Pulses,2024-09,1.5061764705882352
AFG,Pulses,2024-10,1.5314705882352941
AFG,Pulses,2024-11,1.465
AFG,Pulses,2024-12,1.433235294117647
AFG,Rice (high quality),2024-01,1.4220588235294118
AFG,Rice (high quality),2024-02,1.395
AFG,Rice (high quality),2024-03,1.413235294117647
AFG,Rice (high quality),2024-04,1.3908823529411765
AFG,Rice (high quality),2024-05,1.343235294117647
AFG,Rice (high quality),2024-06,1.336764705882353
